,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
156,0.8642689,55.897385,764.0,5,0,16,1,BrainInvaders2012,HODA
157,0.9303561,48.7946,764.0,5,0,16,1,BrainInvaders2012,PARAFACDA
158,0.92215264,95.99398,764.0,5,0,16,1,BrainInvaders2012,BTTDA
159,0.8421761,43.497807,765.0,6,0,16,1,BrainInvaders2012,HODA
160,0.92622375,56.672585,765.0,6,0,16,1,BrainInvaders2012,PARAFACDA
161,0.93098027,94.73268,765.0,6,0,16,1,BrainInvaders2012,BTTDA
162,0.8765168,18.390598,768.0,7,0,16,1,BrainInvaders2012,HODA
163,0.90642065,51.37176,768.0,7,0,16,1,BrainInvaders2012,PARAFACDA
164,0.9100048,91.6854,768.0,7,0,16,1,BrainInvaders2012,BTTDA
165,0.8421761,31.118038,765.0,8,0,16,1,BrainInvaders2012,HODA
166,0.92622375,51.12077,765.0,8,0,16,1,BrainInvaders2012,PARAFACDA
167,0.93098027,79.299225,765.0,8,0,16,1,BrainInvaders2012,BTTDA
168,0.882149,34.23472,761.0,9,0,16,1,BrainInvaders2012,HODA
169,0.9179043,56.692528,761.0,9,0,16,1,BrainInvaders2012,PARAFACDA
170,0.90949726,104.57665,761.0,9,0,16,1,BrainInvaders2012,BTTDA
171,0.78289664,70.783966,758.0,10,0,16,1,BrainInvaders2012,HODA
172,0.863396,65.81573,758.0,10,0,16,1,BrainInvaders2012,PARAFACDA
173,0.85726136,100.02255,758.0,10,0,16,1,BrainInvaders2012,BTTDA
174,0.80632615,42.970486,766.0,11,0,16,1,BrainInvaders2012,HODA
175,0.9036487,74.83817,766.0,11,0,16,1,BrainInvaders2012,PARAFACDA
176,0.9075925,101.63887,766.0,11,0,16,1,BrainInvaders2012,BTTDA
177,0.99028367,45.04059,768.0,12,0,16,1,BrainInvaders2012,HODA
178,0.9951178,57.66336,768.0,12,0,16,1,BrainInvaders2012,PARAFACDA
179,0.9923197,107.51388,768.0,12,0,16,1,BrainInvaders2012,BTTDA
180,0.80145115,15.242109,767.0,13,0,16,1,BrainInvaders2012,HODA
181,0.86353683,68.76277,767.0,13,0,16,1,BrainInvaders2012,PARAFACDA
182,0.84558725,99.12586,767.0,13,0,16,1,BrainInvaders2012,BTTDA
183,0.8407524,63.038124,768.0,14,0,16,1,BrainInvaders2012,HODA
184,0.8535072,71.72353,768.0,14,0,16,1,BrainInvaders2012,PARAFACDA
185,0.85413224,94.29732,768.0,14,0,16,1,BrainInvaders2012,BTTDA
186,0.84755737,76.35992,766.0,15,0,16,1,BrainInvaders2012,HODA
187,0.87235355,49.84082,766.0,15,0,16,1,BrainInvaders2012,PARAFACDA
188,0.8832095,96.50096,766.0,15,0,16,1,BrainInvaders2012,BTTDA
189,0.87119955,57.618835,768.0,16,0,16,1,BrainInvaders2012,HODA
190,0.9205793,57.890762,768.0,16,0,16,1,BrainInvaders2012,PARAFACDA
191,0.9329231,91.2827,768.0,16,0,16,1,BrainInvaders2012,BTTDA
192,0.8354894,75.19559,765.0,17,0,16,1,BrainInvaders2012,HODA
193,0.88161623,82.615685,765.0,17,0,16,1,BrainInvaders2012,PARAFACDA
194,0.86230594,104.82801,765.0,17,0,16,1,BrainInvaders2012,BTTDA
