,dataset,subject,session,fold,n_blocks,roc_auc_score
181,009-2014,1,session_0,0,22,0.9078125
182,009-2014,1,session_0,0,23,0.9072916666666667
183,009-2014,1,session_0,0,24,0.9088541666666666
184,009-2014,1,session_0,0,25,0.9098958333333332
185,009-2014,1,session_0,0,26,0.9052083333333333
186,009-2014,1,session_0,0,27,0.9046875000000001
187,009-2014,1,session_0,0,28,0.9041666666666667
188,009-2014,1,session_0,0,29,0.9041666666666667
189,009-2014,1,session_0,0,30,0.9036458333333334
190,009-2014,1,session_0,0,31,0.9041666666666667
191,009-2014,1,session_0,0,32,0.9046875000000001
192,009-2014,1,session_0,1,1,0.9736842105263157
193,009-2014,1,session_0,1,2,0.9550438596491228
194,009-2014,1,session_0,1,3,0.9484649122807017
195,009-2014,1,session_0,1,4,0.9402412280701754
196,009-2014,1,session_0,1,5,0.9303728070175439
197,009-2014,1,session_0,1,6,0.9303728070175439
198,009-2014,1,session_0,1,7,0.9331140350877193
199,009-2014,1,session_0,1,8,0.9320175438596492
200,009-2014,1,session_0,1,9,0.9281798245614035
201,009-2014,1,session_0,1,10,0.9292763157894737
202,009-2014,1,session_0,1,11,0.9303728070175438
203,009-2014,1,session_0,1,12,0.931469298245614
204,009-2014,1,session_0,1,13,0.931469298245614
205,009-2014,1,session_0,1,14,0.930921052631579
206,009-2014,1,session_0,1,15,0.9325657894736842
207,009-2014,1,session_0,1,16,0.9320175438596491
208,009-2014,1,session_0,1,17,0.9325657894736843
209,009-2014,1,session_0,1,18,0.9331140350877192
210,009-2014,1,session_0,1,19,0.9342105263157895
211,009-2014,1,session_0,1,20,0.9287280701754386
212,009-2014,1,session_0,1,21,0.9281798245614035
213,009-2014,1,session_0,1,22,0.9281798245614035
214,009-2014,1,session_0,1,23,0.9281798245614036
215,009-2014,1,session_0,1,24,0.9276315789473684
216,009-2014,1,session_0,1,25,0.9276315789473684
217,009-2014,1,session_0,1,26,0.9292763157894737
218,009-2014,1,session_0,1,27,0.9254385964912281
219,009-2014,1,session_0,1,28,0.9265350877192983
220,009-2014,1,session_0,1,29,0.9281798245614035
221,009-2014,1,session_0,1,30,0.9270833333333333
222,009-2014,1,session_0,1,31,0.9265350877192982
223,009-2014,1,session_0,1,32,0.9265350877192982
224,009-2014,1,session_0,2,1,0.9665570175438597
225,009-2014,1,session_0,2,2,0.950657894736842
226,009-2014,1,session_0,2,3,0.9616228070175439
227,009-2014,1,session_0,2,4,0.9544956140350876
228,009-2014,1,session_0,2,5,0.956140350877193
229,009-2014,1,session_0,2,6,0.962171052631579
230,009-2014,1,session_0,2,7,0.9632675438596492
231,009-2014,1,session_0,2,8,0.9643640350877192
232,009-2014,1,session_0,2,9,0.9649122807017544
233,009-2014,1,session_0,2,10,0.9643640350877194
234,009-2014,1,session_0,2,11,0.9638157894736842
235,009-2014,1,session_0,2,12,0.9649122807017545
236,009-2014,1,session_0,2,13,0.9660087719298245
237,009-2014,1,session_0,2,14,0.9665570175438596
238,009-2014,1,session_0,2,15,0.9671052631578948
239,009-2014,1,session_0,2,16,0.9649122807017544
240,009-2014,1,session_0,2,17,0.9643640350877193
241,009-2014,1,session_0,2,18,0.9638157894736841
242,009-2014,1,session_0,2,19,0.9610745614035088
243,009-2014,1,session_0,2,20,0.9605263157894736
244,009-2014,1,session_0,2,21,0.9605263157894736
245,009-2014,1,session_0,2,22,0.9610745614035088
246,009-2014,1,session_0,2,23,0.9605263157894737
247,009-2014,1,session_0,2,24,0.9610745614035088
248,009-2014,1,session_0,2,25,0.9616228070175439
249,009-2014,1,session_0,2,26,0.9616228070175439
250,009-2014,1,session_0,2,27,0.9610745614035088
251,009-2014,1,session_0,2,28,0.9616228070175439
252,009-2014,1,session_0,2,29,0.9616228070175439
253,009-2014,1,session_0,2,30,0.9610745614035087
254,009-2014,1,session_0,2,31,0.9610745614035087
255,009-2014,1,session_0,2,32,0.9599780701754386
256,009-2014,1,session_0,3,1,0.9808114035087719
257,009-2014,1,session_0,3,2,0.9676535087719298
258,009-2014,1,session_0,3,3,0.9649122807017544
259,009-2014,1,session_0,3,4,0.956688596491228
260,009-2014,1,session_0,3,5,0.9577850877192982
261,009-2014,1,session_0,3,6,0.9555921052631579
262,009-2014,1,session_0,3,7,0.9555921052631579
263,009-2014,1,session_0,3,8,0.9544956140350876
264,009-2014,1,session_0,3,9,0.956688596491228
265,009-2014,1,session_0,3,10,0.9566885964912281
266,009-2014,1,session_0,3,11,0.9566885964912281
267,009-2014,1,session_0,3,12,0.9594298245614035
268,009-2014,1,session_0,3,13,0.9605263157894737
269,009-2014,1,session_0,3,14,0.9599780701754386
270,009-2014,1,session_0,3,15,0.9605263157894737
271,009-2014,1,session_0,3,16,0.9610745614035088
272,009-2014,1,session_0,3,17,0.9616228070175439
273,009-2014,1,session_0,3,18,0.9605263157894737
274,009-2014,1,session_0,3,19,0.9605263157894737
275,009-2014,1,session_0,3,20,0.9577850877192983
276,009-2014,1,session_0,3,21,0.9583333333333333
277,009-2014,1,session_0,3,22,0.957236842105263
278,009-2014,1,session_0,3,23,0.957236842105263
279,009-2014,1,session_0,3,24,0.956688596491228
280,009-2014,1,session_0,3,25,0.956688596491228
281,009-2014,1,session_0,3,26,0.956688596491228
282,009-2014,1,session_0,3,27,0.956688596491228
283,009-2014,1,session_0,3,28,0.957236842105263
284,009-2014,1,session_0,3,29,0.957236842105263
285,009-2014,1,session_0,3,30,0.9577850877192982
286,009-2014,1,session_0,3,31,0.9572368421052632
287,009-2014,1,session_0,3,32,0.9572368421052632
288,009-2014,1,session_0,4,1,0.9819078947368421
289,009-2014,1,session_0,4,2,0.9830043859649122
290,009-2014,1,session_0,4,3,0.9813596491228069
291,009-2014,1,session_0,4,4,0.981359649122807
292,009-2014,1,session_0,4,5,0.9764254385964912
293,009-2014,1,session_0,4,6,0.9764254385964912
294,009-2014,1,session_0,4,7,0.974780701754386
295,009-2014,1,session_0,4,8,0.9731359649122807
296,009-2014,1,session_0,4,9,0.9736842105263158
297,009-2014,1,session_0,4,10,0.9747807017543859
298,009-2014,1,session_0,4,11,0.9764254385964912
299,009-2014,1,session_0,4,12,0.9764254385964912
300,009-2014,1,session_0,4,13,0.9764254385964912
301,009-2014,1,session_0,4,14,0.9764254385964912
302,009-2014,1,session_0,4,15,0.9764254385964912
303,009-2014,1,session_0,4,16,0.9764254385964912
304,009-2014,1,session_0,4,17,0.9769736842105263
305,009-2014,1,session_0,4,18,0.9769736842105263
306,009-2014,1,session_0,4,19,0.9764254385964912
307,009-2014,1,session_0,4,20,0.9764254385964912
308,009-2014,1,session_0,4,21,0.9758771929824561
309,009-2014,1,session_0,4,22,0.975328947368421
310,009-2014,1,session_0,4,23,0.9758771929824561
311,009-2014,1,session_0,4,24,0.9714912280701754
312,009-2014,1,session_0,4,25,0.9720394736842105
313,009-2014,1,session_0,4,26,0.9616228070175439
314,009-2014,1,session_0,4,27,0.9616228070175439
315,009-2014,1,session_0,4,28,0.9610745614035088
316,009-2014,1,session_0,4,29,0.962171052631579
317,009-2014,1,session_0,4,30,0.962171052631579
318,009-2014,1,session_0,4,31,0.962171052631579
319,009-2014,1,session_0,4,32,0.9605263157894737
320,009-2014,1,session_1,0,1,0.9390624999999999
321,009-2014,1,session_1,0,2,0.9411458333333333
322,009-2014,1,session_1,0,3,0.9328125
323,009-2014,1,session_1,0,4,0.9354166666666667
324,009-2014,1,session_1,0,5,0.9375
325,009-2014,1,session_1,0,6,0.9494791666666667
326,009-2014,1,session_1,0,7,0.9427083333333333
327,009-2014,1,session_1,0,8,0.9463541666666666
328,009-2014,1,session_1,0,9,0.9447916666666667
329,009-2014,1,session_1,0,10,0.95
330,009-2014,1,session_1,0,11,0.9505208333333333
331,009-2014,1,session_1,0,12,0.9510416666666666
332,009-2014,1,session_1,0,13,0.9510416666666666
333,009-2014,1,session_1,0,14,0.9505208333333334
334,009-2014,1,session_1,0,15,0.9505208333333334
335,009-2014,1,session_1,0,16,0.9505208333333334
336,009-2014,1,session_1,0,17,0.9515625
337,009-2014,1,session_1,0,18,0.9500000000000001
338,009-2014,1,session_1,0,19,0.9505208333333334
339,009-2014,1,session_1,0,20,0.9505208333333333
340,009-2014,1,session_1,0,21,0.9489583333333333
341,009-2014,1,session_1,0,22,0.9494791666666667
342,009-2014,1,session_1,0,23,0.9484374999999999
343,009-2014,1,session_1,0,24,0.946875
344,009-2014,1,session_1,0,25,0.9489583333333333
345,009-2014,1,session_1,0,26,0.9494791666666667
346,009-2014,1,session_1,0,27,0.9494791666666668
347,009-2014,1,session_1,0,28,0.9515625000000001
348,009-2014,1,session_1,0,29,0.9515625000000001
349,009-2014,1,session_1,0,30,0.9520833333333333
350,009-2014,1,session_1,0,31,0.9520833333333333
351,009-2014,1,session_1,0,32,0.9520833333333333
352,009-2014,1,session_1,1,1,0.9780701754385965
353,009-2014,1,session_1,1,2,0.9786184210526315
354,009-2014,1,session_1,1,3,0.9780701754385964
355,009-2014,1,session_1,1,4,0.9786184210526315
356,009-2014,1,session_1,1,5,0.9786184210526316
357,009-2014,1,session_1,1,6,0.9758771929824561
358,009-2014,1,session_1,1,7,0.974780701754386
359,009-2014,1,session_1,1,8,0.9665570175438596
360,009-2014,1,session_1,1,9,0.9605263157894737
361,009-2014,1,session_1,1,10,0.9605263157894737
362,009-2014,1,session_1,1,11,0.9632675438596491
363,009-2014,1,session_1,1,12,0.9632675438596491
364,009-2014,1,session_1,1,13,0.9632675438596491
365,009-2014,1,session_1,1,14,0.9638157894736842
366,009-2014,1,session_1,1,15,0.9632675438596491
367,009-2014,1,session_1,1,16,0.9638157894736842
368,009-2014,1,session_1,1,17,0.9649122807017544
369,009-2014,1,session_1,1,18,0.9643640350877193
370,009-2014,1,session_1,1,19,0.9649122807017544
371,009-2014,1,session_1,1,20,0.9561403508771931
372,009-2014,1,session_1,1,21,0.9555921052631579
373,009-2014,1,session_1,1,22,0.9555921052631579
374,009-2014,1,session_1,1,23,0.9555921052631579
375,009-2014,1,session_1,1,24,0.9490131578947368
376,009-2014,1,session_1,1,25,0.9484649122807017
377,009-2014,1,session_1,1,26,0.9495614035087719
378,009-2014,1,session_1,1,27,0.9479166666666666
379,009-2014,1,session_1,1,28,0.9429824561403508
380,009-2014,1,session_1,1,29,0.9435307017543859
381,009-2014,1,session_1,1,30,0.9457236842105263
382,009-2014,1,session_1,1,31,0.9418859649122807
383,009-2014,1,session_1,1,32,0.9418859649122807
384,009-2014,1,session_1,2,1,0.9709429824561404
385,009-2014,1,session_1,2,2,0.9698464912280702
386,009-2014,1,session_1,2,3,0.9714912280701754
387,009-2014,1,session_1,2,4,0.9665570175438597
388,009-2014,1,session_1,2,5,0.9649122807017544
389,009-2014,1,session_1,2,6,0.9649122807017544
390,009-2014,1,session_1,2,7,0.962719298245614
391,009-2014,1,session_1,2,8,0.9599780701754386
392,009-2014,1,session_1,2,9,0.9610745614035088
393,009-2014,1,session_1,2,10,0.9605263157894737
394,009-2014,1,session_1,2,11,0.9599780701754386
395,009-2014,1,session_1,2,12,0.9594298245614035
396,009-2014,1,session_1,2,13,0.9599780701754386
397,009-2014,1,session_1,2,14,0.9616228070175439
398,009-2014,1,session_1,2,15,0.9616228070175439
399,009-2014,1,session_1,2,16,0.9610745614035088
400,009-2014,1,session_1,2,17,0.9605263157894737
401,009-2014,1,session_1,2,18,0.9616228070175439
402,009-2014,1,session_1,2,19,0.9610745614035088
403,009-2014,1,session_1,2,20,0.9610745614035088
404,009-2014,1,session_1,2,21,0.9682017543859649
405,009-2014,1,session_1,2,22,0.9654605263157895
406,009-2014,1,session_1,2,23,0.9654605263157895
407,009-2014,1,session_1,2,24,0.9649122807017544
408,009-2014,1,session_1,2,25,0.9643640350877193
409,009-2014,1,session_1,2,26,0.9643640350877193
410,009-2014,1,session_1,2,27,0.9643640350877193
411,009-2014,1,session_1,2,28,0.9643640350877193
412,009-2014,1,session_1,2,29,0.9643640350877193
413,009-2014,1,session_1,2,30,0.9643640350877193
414,009-2014,1,session_1,2,31,0.9643640350877193
415,009-2014,1,session_1,2,32,0.9632675438596492
416,009-2014,1,session_1,3,1,0.9742324561403508
417,009-2014,1,session_1,3,2,0.9742324561403508
418,009-2014,1,session_1,3,3,0.9742324561403508
419,009-2014,1,session_1,3,4,0.9758771929824561
420,009-2014,1,session_1,3,5,0.9786184210526316
421,009-2014,1,session_1,3,6,0.9797149122807017
422,009-2014,1,session_1,3,7,0.9802631578947368
423,009-2014,1,session_1,3,8,0.9769736842105263
424,009-2014,1,session_1,3,9,0.9775219298245614
425,009-2014,1,session_1,3,10,0.9775219298245614
426,009-2014,1,session_1,3,11,0.9791666666666666
427,009-2014,1,session_1,3,12,0.9780701754385964
428,009-2014,1,session_1,3,13,0.9775219298245614
429,009-2014,1,session_1,3,14,0.9764254385964912
430,009-2014,1,session_1,3,15,0.9764254385964912
431,009-2014,1,session_1,3,16,0.9764254385964912
432,009-2014,1,session_1,3,17,0.9769736842105263
433,009-2014,1,session_1,3,18,0.9769736842105263
434,009-2014,1,session_1,3,19,0.9758771929824561
435,009-2014,1,session_1,3,20,0.9764254385964912
436,009-2014,1,session_1,3,21,0.9764254385964912
437,009-2014,1,session_1,3,22,0.9769736842105263
438,009-2014,1,session_1,3,23,0.9764254385964912
439,009-2014,1,session_1,3,24,0.9758771929824561
440,009-2014,1,session_1,3,25,0.9758771929824561
441,009-2014,1,session_1,3,26,0.974780701754386
442,009-2014,1,session_1,3,27,0.974780701754386
443,009-2014,1,session_1,3,28,0.9764254385964912
444,009-2014,1,session_1,3,29,0.9764254385964912
445,009-2014,1,session_1,3,30,0.9764254385964912
446,009-2014,1,session_1,3,31,0.9747807017543859
447,009-2014,1,session_1,3,32,0.9747807017543859
448,009-2014,1,session_1,4,1,0.9473684210526315
449,009-2014,1,session_1,4,2,0.9484649122807017
450,009-2014,1,session_1,4,3,0.9490131578947368
451,009-2014,1,session_1,4,4,0.9539473684210527
452,009-2014,1,session_1,4,5,0.9523026315789473
453,009-2014,1,session_1,4,6,0.9523026315789473
454,009-2014,1,session_1,4,7,0.9528508771929824
455,009-2014,1,session_1,4,8,0.956140350877193
456,009-2014,1,session_1,4,9,0.9572368421052632
457,009-2014,1,session_1,4,10,0.9671052631578947
458,009-2014,1,session_1,4,11,0.9731359649122807
459,009-2014,1,session_1,4,12,0.9720394736842105
460,009-2014,1,session_1,4,13,0.9720394736842105
461,009-2014,1,session_1,4,14,0.9720394736842105
462,009-2014,1,session_1,4,15,0.9703947368421053
463,009-2014,1,session_1,4,16,0.9758771929824561
464,009-2014,1,session_1,4,17,0.975328947368421
465,009-2014,1,session_1,4,18,0.9764254385964912
466,009-2014,1,session_1,4,19,0.9775219298245614
467,009-2014,1,session_1,4,20,0.9764254385964912
468,009-2014,1,session_1,4,21,0.9769736842105263
469,009-2014,1,session_1,4,22,0.9769736842105263
470,009-2014,1,session_1,4,23,0.9775219298245614
471,009-2014,1,session_1,4,24,0.9769736842105263
472,009-2014,1,session_1,4,25,0.9769736842105263
473,009-2014,1,session_1,4,26,0.9780701754385965
474,009-2014,1,session_1,4,27,0.9780701754385965
475,009-2014,1,session_1,4,28,0.9775219298245614
476,009-2014,1,session_1,4,29,0.9786184210526315
477,009-2014,1,session_1,4,30,0.9808114035087719
478,009-2014,1,session_1,4,31,0.9797149122807017
479,009-2014,1,session_1,4,32,0.9797149122807017
480,009-2014,1,session_2,0,1,0.9677083333333334
481,009-2014,1,session_2,0,2,0.9651041666666667
482,009-2014,1,session_2,0,3,0.9640625
483,009-2014,1,session_2,0,4,0.9635416666666666
484,009-2014,1,session_2,0,5,0.9598958333333333
485,009-2014,1,session_2,0,6,0.9604166666666667
486,009-2014,1,session_2,0,7,0.9572916666666667
487,009-2014,1,session_2,0,8,0.9557291666666666
488,009-2014,1,session_2,0,9,0.9546874999999999
489,009-2014,1,session_2,0,10,0.9552083333333333
490,009-2014,1,session_2,0,11,0.953125
491,009-2014,1,session_2,0,12,0.9510416666666668
492,009-2014,1,session_2,0,13,0.95
493,009-2014,1,session_2,0,14,0.9453125
494,009-2014,1,session_2,0,15,0.9447916666666667
495,009-2014,1,session_2,0,16,0.9442708333333334
496,009-2014,1,session_2,0,17,0.9442708333333334
497,009-2014,1,session_2,0,18,0.9432291666666667
498,009-2014,1,session_2,0,19,0.9463541666666666
499,009-2014,1,session_2,0,20,0.9453125000000001
500,009-2014,1,session_2,0,21,0.9479166666666667
501,009-2014,1,session_2,0,22,0.9473958333333333
502,009-2014,1,session_2,0,23,0.9473958333333333
503,009-2014,1,session_2,0,24,0.9479166666666666
504,009-2014,1,session_2,0,25,0.9526041666666667
505,009-2014,1,session_2,0,26,0.9520833333333334
506,009-2014,1,session_2,0,27,0.9505208333333333
507,009-2014,1,session_2,0,28,0.95
508,009-2014,1,session_2,0,29,0.9536458333333333
509,009-2014,1,session_2,0,30,0.9536458333333333
510,009-2014,1,session_2,0,31,0.953125
511,009-2014,1,session_2,0,32,0.9520833333333334
512,009-2014,1,session_2,1,1,0.9665570175438596
513,009-2014,1,session_2,1,2,0.9682017543859649
514,009-2014,1,session_2,1,3,0.9665570175438597
515,009-2014,1,session_2,1,4,0.9703947368421052
516,009-2014,1,session_2,1,5,0.9714912280701754
517,009-2014,1,session_2,1,6,0.9698464912280702
518,009-2014,1,session_2,1,7,0.9682017543859649
519,009-2014,1,session_2,1,8,0.9616228070175439
520,009-2014,1,session_2,1,9,0.9594298245614035
521,009-2014,1,session_2,1,10,0.9588815789473684
522,009-2014,1,session_2,1,11,0.9594298245614035
523,009-2014,1,session_2,1,12,0.9594298245614035
524,009-2014,1,session_2,1,13,0.9599780701754386
525,009-2014,1,session_2,1,14,0.9599780701754386
526,009-2014,1,session_2,1,15,0.9594298245614035
527,009-2014,1,session_2,1,16,0.9599780701754386
528,009-2014,1,session_2,1,17,0.9599780701754386
529,009-2014,1,session_2,1,18,0.9599780701754386
530,009-2014,1,session_2,1,19,0.9599780701754386
531,009-2014,1,session_2,1,20,0.9599780701754386
532,009-2014,1,session_2,1,21,0.9599780701754386
533,009-2014,1,session_2,1,22,0.9588815789473685
534,009-2014,1,session_2,1,23,0.9594298245614035
535,009-2014,1,session_2,1,24,0.9594298245614035
536,009-2014,1,session_2,1,25,0.9594298245614035
537,009-2014,1,session_2,1,26,0.9599780701754386
538,009-2014,1,session_2,1,27,0.9599780701754386
539,009-2014,1,session_2,1,28,0.9605263157894737
