,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
27,1,"(3, 4, 8)",2,0.9385964912280702,0.7444444444444444,97,0.6319444444444444,BNCI2014-004,3,0train
28,1,"(3, 4, 8)",3,0.9527665317139,0.43333333333333335,97,0.5763888888888888,BNCI2014-004,3,0train
29,1,"(3, 4, 8)",4,0.9595141700404858,0.6777777777777778,97,0.6875,BNCI2014-004,3,0train
30,0,"(1, 1, 1)",0,0.9965373961218836,1.0,1,1.0,BNCI2014-004,4,0train
31,0,"(1, 1, 1)",1,0.9939271255060729,0.9666666666666668,1,1.0,BNCI2014-004,4,0train
32,0,"(1, 1, 1)",2,0.9878542510121457,1.0,1,0.9930555555555555,BNCI2014-004,4,0train
33,0,"(1, 1, 1)",3,0.9959514170040485,0.9333333333333332,1,0.9791666666666666,BNCI2014-004,4,0train
34,0,"(1, 1, 1)",4,0.99055330634278,0.9444444444444444,1,1.0,BNCI2014-004,4,0train
35,1,"(3, 4, 16)",0,0.9986149584487535,0.95,193,0.9513888888888888,BNCI2014-004,4,0train
36,1,"(3, 4, 16)",1,0.9946018893387314,0.9222222222222223,193,0.9652777777777779,BNCI2014-004,4,0train
37,1,"(3, 4, 16)",2,0.9946018893387315,1.0,193,0.9097222222222222,BNCI2014-004,4,0train
38,1,"(3, 4, 16)",3,1.0,0.9111111111111111,193,0.9236111111111112,BNCI2014-004,4,0train
39,1,"(3, 4, 16)",4,1.0,0.9555555555555556,193,0.9791666666666667,BNCI2014-004,4,0train
40,0,"(1, 1, 1)",0,0.9411357340720221,0.88,1,0.6805555555555556,BNCI2014-004,5,0train
41,0,"(1, 1, 1)",1,0.9190283400809717,0.7777777777777778,1,0.6597222222222223,BNCI2014-004,5,0train
42,0,"(1, 1, 1)",2,0.9412955465587045,0.7777777777777778,1,0.6666666666666667,BNCI2014-004,5,0train
43,0,"(1, 1, 1)",3,0.9507422402159245,0.8999999999999999,1,0.75,BNCI2014-004,5,0train
