,dataset,subject,session,run,fold,n_blocks,roc_auc_score
933,009-2014,2,session_0,run_0,3,6,0.9539473684210527
934,009-2014,2,session_0,run_0,3,7,0.9517543859649122
935,009-2014,2,session_0,run_0,3,8,0.9533991228070176
936,009-2014,2,session_0,run_0,3,9,0.9523026315789473
937,009-2014,2,session_0,run_0,3,10,0.9523026315789473
938,009-2014,2,session_0,run_0,3,11,0.9517543859649122
939,009-2014,2,session_0,run_0,3,12,0.9517543859649122
940,009-2014,2,session_0,run_0,3,13,0.9528508771929824
941,009-2014,2,session_0,run_0,3,14,0.9555921052631579
942,009-2014,2,session_0,run_0,3,15,0.9544956140350878
943,009-2014,2,session_0,run_0,3,16,0.956140350877193
944,009-2014,2,session_0,run_0,4,1,0.9407894736842106
945,009-2014,2,session_0,run_0,4,2,0.9435307017543859
946,009-2014,2,session_0,run_0,4,3,0.9446271929824561
947,009-2014,2,session_0,run_0,4,4,0.9424342105263157
948,009-2014,2,session_0,run_0,4,5,0.9555921052631579
949,009-2014,2,session_0,run_0,4,6,0.9501096491228069
950,009-2014,2,session_0,run_0,4,7,0.9375
951,009-2014,2,session_0,run_0,4,8,0.9375
952,009-2014,2,session_0,run_0,4,9,0.9424342105263159
953,009-2014,2,session_0,run_0,4,10,0.9424342105263159
954,009-2014,2,session_0,run_0,4,11,0.9440789473684211
955,009-2014,2,session_0,run_0,4,12,0.9435307017543859
956,009-2014,2,session_0,run_0,4,13,0.9479166666666665
957,009-2014,2,session_0,run_0,4,14,0.9501096491228069
958,009-2014,2,session_0,run_0,4,15,0.9495614035087718
959,009-2014,2,session_0,run_0,4,16,0.9490131578947368
960,009-2014,2,session_1,run_0,0,1,0.9088541666666666
961,009-2014,2,session_1,run_0,0,2,0.9619791666666666
962,009-2014,2,session_1,run_0,0,3,0.9640625
963,009-2014,2,session_1,run_0,0,4,0.9666666666666666
964,009-2014,2,session_1,run_0,0,5,0.9682291666666667
965,009-2014,2,session_1,run_0,0,6,0.9651041666666667
966,009-2014,2,session_1,run_0,0,7,0.9635416666666666
967,009-2014,2,session_1,run_0,0,8,0.9619791666666666
968,009-2014,2,session_1,run_0,0,9,0.9593750000000001
969,009-2014,2,session_1,run_0,0,10,0.9578125
970,009-2014,2,session_1,run_0,0,11,0.9578125
971,009-2014,2,session_1,run_0,0,12,0.9557291666666667
972,009-2014,2,session_1,run_0,0,13,0.9593750000000001
973,009-2014,2,session_1,run_0,0,14,0.9567708333333332
974,009-2014,2,session_1,run_0,0,15,0.9572916666666667
975,009-2014,2,session_1,run_0,0,16,0.9572916666666667
976,009-2014,2,session_1,run_0,1,1,0.9682017543859649
977,009-2014,2,session_1,run_0,1,2,0.9857456140350878
978,009-2014,2,session_1,run_0,1,3,0.9857456140350878
979,009-2014,2,session_1,run_0,1,4,0.9862938596491228
980,009-2014,2,session_1,run_0,1,5,0.9851973684210527
981,009-2014,2,session_1,run_0,1,6,0.9758771929824561
982,009-2014,2,session_1,run_0,1,7,0.974780701754386
983,009-2014,2,session_1,run_0,1,8,0.9764254385964912
984,009-2014,2,session_1,run_0,1,9,0.9758771929824561
985,009-2014,2,session_1,run_0,1,10,0.975328947368421
986,009-2014,2,session_1,run_0,1,11,0.9742324561403508
987,009-2014,2,session_1,run_0,1,12,0.9736842105263158
988,009-2014,2,session_1,run_0,1,13,0.9736842105263158
989,009-2014,2,session_1,run_0,1,14,0.9731359649122806
990,009-2014,2,session_1,run_0,1,15,0.974780701754386
991,009-2014,2,session_1,run_0,1,16,0.974780701754386
992,009-2014,2,session_1,run_0,2,1,0.9336622807017544
993,009-2014,2,session_1,run_0,2,2,0.9802631578947368
994,009-2014,2,session_1,run_0,2,3,0.9720394736842105
995,009-2014,2,session_1,run_0,2,4,0.9643640350877192
996,009-2014,2,session_1,run_0,2,5,0.9654605263157895
997,009-2014,2,session_1,run_0,2,6,0.9720394736842105
998,009-2014,2,session_1,run_0,2,7,0.9676535087719298
999,009-2014,2,session_1,run_0,2,8,0.9665570175438597
1000,009-2014,2,session_1,run_0,2,9,0.9682017543859649
1001,009-2014,2,session_1,run_0,2,10,0.9671052631578947
1002,009-2014,2,session_1,run_0,2,11,0.9665570175438596
1003,009-2014,2,session_1,run_0,2,12,0.9660087719298245
1004,009-2014,2,session_1,run_0,2,13,0.9665570175438596
1005,009-2014,2,session_1,run_0,2,14,0.9649122807017544
1006,009-2014,2,session_1,run_0,2,15,0.9643640350877193
1007,009-2014,2,session_1,run_0,2,16,0.9632675438596491
1008,009-2014,2,session_1,run_0,3,1,0.9758771929824561
1009,009-2014,2,session_1,run_0,3,2,0.9819078947368421
1010,009-2014,2,session_1,run_0,3,3,0.9808114035087719
1011,009-2014,2,session_1,run_0,3,4,0.9824561403508771
1012,009-2014,2,session_1,run_0,3,5,0.981907894736842
1013,009-2014,2,session_1,run_0,3,6,0.981359649122807
1014,009-2014,2,session_1,run_0,3,7,0.9797149122807016
1015,009-2014,2,session_1,run_0,3,8,0.9813596491228069
1016,009-2014,2,session_1,run_0,3,9,0.9780701754385964
1017,009-2014,2,session_1,run_0,3,10,0.9769736842105263
1018,009-2014,2,session_1,run_0,3,11,0.9747807017543859
1019,009-2014,2,session_1,run_0,3,12,0.9791666666666667
1020,009-2014,2,session_1,run_0,3,13,0.9786184210526316
1021,009-2014,2,session_1,run_0,3,14,0.9780701754385964
1022,009-2014,2,session_1,run_0,3,15,0.9780701754385964
1023,009-2014,2,session_1,run_0,3,16,0.9764254385964912
1024,009-2014,2,session_1,run_0,4,1,0.9588815789473685
1025,009-2014,2,session_1,run_0,4,2,0.962171052631579
1026,009-2014,2,session_1,run_0,4,3,0.9616228070175439
1027,009-2014,2,session_1,run_0,4,4,0.9616228070175439
1028,009-2014,2,session_1,run_0,4,5,0.9605263157894737
1029,009-2014,2,session_1,run_0,4,6,0.9638157894736842
1030,009-2014,2,session_1,run_0,4,7,0.9638157894736842
1031,009-2014,2,session_1,run_0,4,8,0.9649122807017543
1032,009-2014,2,session_1,run_0,4,9,0.9654605263157894
1033,009-2014,2,session_1,run_0,4,10,0.9649122807017545
1034,009-2014,2,session_1,run_0,4,11,0.9643640350877194
1035,009-2014,2,session_1,run_0,4,12,0.962719298245614
1036,009-2014,2,session_1,run_0,4,13,0.9610745614035088
1037,009-2014,2,session_1,run_0,4,14,0.9616228070175439
1038,009-2014,2,session_1,run_0,4,15,0.9610745614035088
1039,009-2014,2,session_1,run_0,4,16,0.9616228070175439
1040,009-2014,2,session_2,run_0,0,1,0.96875
1041,009-2014,2,session_2,run_0,0,2,0.9645833333333333
1042,009-2014,2,session_2,run_0,0,3,0.9703125
1043,009-2014,2,session_2,run_0,0,4,0.9760416666666666
1044,009-2014,2,session_2,run_0,0,5,0.9734375
1045,009-2014,2,session_2,run_0,0,6,0.9729166666666667
1046,009-2014,2,session_2,run_0,0,7,0.9718749999999999
1047,009-2014,2,session_2,run_0,0,8,0.96875
1048,009-2014,2,session_2,run_0,0,9,0.9708333333333334
1049,009-2014,2,session_2,run_0,0,10,0.9677083333333334
1050,009-2014,2,session_2,run_0,0,11,0.9677083333333334
1051,009-2014,2,session_2,run_0,0,12,0.9677083333333334
1052,009-2014,2,session_2,run_0,0,13,0.9734375
1053,009-2014,2,session_2,run_0,0,14,0.9651041666666667
1054,009-2014,2,session_2,run_0,0,15,0.9640625
1055,009-2014,2,session_2,run_0,0,16,0.9583333333333334
1056,009-2014,2,session_2,run_0,1,1,0.9830043859649124
1057,009-2014,2,session_2,run_0,1,2,0.9813596491228069
1058,009-2014,2,session_2,run_0,1,3,0.9808114035087719
1059,009-2014,2,session_2,run_0,1,4,0.9895833333333333
1060,009-2014,2,session_2,run_0,1,5,0.9857456140350878
1061,009-2014,2,session_2,run_0,1,6,0.975328947368421
1062,009-2014,2,session_2,run_0,1,7,0.9791666666666667
1063,009-2014,2,session_2,run_0,1,8,0.974780701754386
1064,009-2014,2,session_2,run_0,1,9,0.9802631578947368
1065,009-2014,2,session_2,run_0,1,10,0.9769736842105263
1066,009-2014,2,session_2,run_0,1,11,0.9758771929824561
1067,009-2014,2,session_2,run_0,1,12,0.9764254385964912
1068,009-2014,2,session_2,run_0,1,13,0.9731359649122807
1069,009-2014,2,session_2,run_0,1,14,0.974780701754386
1070,009-2014,2,session_2,run_0,1,15,0.9725877192982456
1071,009-2014,2,session_2,run_0,1,16,0.9665570175438597
1072,009-2014,2,session_2,run_0,2,1,0.9276315789473685
1073,009-2014,2,session_2,run_0,2,2,0.918859649122807
1074,009-2014,2,session_2,run_0,2,3,0.9172149122807017
1075,009-2014,2,session_2,run_0,2,4,0.9210526315789473
1076,009-2014,2,session_2,run_0,2,5,0.9183114035087718
1077,009-2014,2,session_2,run_0,2,6,0.9150219298245613
1078,009-2014,2,session_2,run_0,2,7,0.9226973684210527
1079,009-2014,2,session_2,run_0,2,8,0.931469298245614
1080,009-2014,2,session_2,run_0,2,9,0.9320175438596491
1081,009-2014,2,session_2,run_0,2,10,0.9298245614035088
1082,009-2014,2,session_2,run_0,2,11,0.9298245614035088
1083,009-2014,2,session_2,run_0,2,12,0.930921052631579
1084,009-2014,2,session_2,run_0,2,13,0.9342105263157894
1085,009-2014,2,session_2,run_0,2,14,0.9342105263157894
1086,009-2014,2,session_2,run_0,2,15,0.9342105263157894
1087,009-2014,2,session_2,run_0,2,16,0.9325657894736843
1088,009-2014,2,session_2,run_0,3,1,0.9325657894736842
1089,009-2014,2,session_2,run_0,3,2,0.9682017543859649
1090,009-2014,2,session_2,run_0,3,3,0.9747807017543859
1091,009-2014,2,session_2,run_0,3,4,0.981907894736842
1092,009-2014,2,session_2,run_0,3,5,0.9830043859649122
1093,009-2014,2,session_2,run_0,3,6,0.9841008771929824
1094,009-2014,2,session_2,run_0,3,7,0.9835526315789473
1095,009-2014,2,session_2,run_0,3,8,0.9862938596491229
1096,009-2014,2,session_2,run_0,3,9,0.9884868421052632
1097,009-2014,2,session_2,run_0,3,10,0.9862938596491229
1098,009-2014,2,session_2,run_0,3,11,0.987390350877193
1099,009-2014,2,session_2,run_0,3,12,0.9868421052631579
1100,009-2014,2,session_2,run_0,3,13,0.9851973684210525
1101,009-2014,2,session_2,run_0,3,14,0.9835526315789473
1102,009-2014,2,session_2,run_0,3,15,0.9846491228070176
1103,009-2014,2,session_2,run_0,3,16,0.9846491228070176
1104,009-2014,2,session_2,run_0,4,1,0.9484649122807016
1105,009-2014,2,session_2,run_0,4,2,0.950109649122807
1106,009-2014,2,session_2,run_0,4,3,0.9610745614035088
1107,009-2014,2,session_2,run_0,4,4,0.9632675438596491
1108,009-2014,2,session_2,run_0,4,5,0.9446271929824561
1109,009-2014,2,session_2,run_0,4,6,0.9533991228070176
1110,009-2014,2,session_2,run_0,4,7,0.950109649122807
1111,009-2014,2,session_2,run_0,4,8,0.9517543859649122
1112,009-2014,2,session_2,run_0,4,9,0.9276315789473684
1113,009-2014,2,session_2,run_0,4,10,0.931469298245614
1114,009-2014,2,session_2,run_0,4,11,0.930921052631579
1115,009-2014,2,session_2,run_0,4,12,0.930921052631579
1116,009-2014,2,session_2,run_0,4,13,0.9320175438596492
1117,009-2014,2,session_2,run_0,4,14,0.9336622807017545
1118,009-2014,2,session_2,run_0,4,15,0.9331140350877194
1119,009-2014,2,session_2,run_0,4,16,0.9358552631578948
1120,009-2014,3,session_0,run_0,0,1,0.8088541666666667
1121,009-2014,3,session_0,run_0,0,2,0.7979166666666667
1122,009-2014,3,session_0,run_0,0,3,0.7437499999999999
1123,009-2014,3,session_0,run_0,0,4,0.7546875
1124,009-2014,3,session_0,run_0,0,5,0.7473958333333333
1125,009-2014,3,session_0,run_0,0,6,0.7505208333333333
1126,009-2014,3,session_0,run_0,0,7,0.784375
1127,009-2014,3,session_0,run_0,0,8,0.80625
1128,009-2014,3,session_0,run_0,0,9,0.8093750000000001
1129,009-2014,3,session_0,run_0,0,10,0.7999999999999999
1130,009-2014,3,session_0,run_0,0,11,0.8005208333333333
1131,009-2014,3,session_0,run_0,0,12,0.8057291666666667
1132,009-2014,3,session_0,run_0,0,13,0.8255208333333334
1133,009-2014,3,session_0,run_0,0,14,0.8296875
1134,009-2014,3,session_0,run_0,0,15,0.8312499999999999
1135,009-2014,3,session_0,run_0,0,16,0.8317708333333335
1136,009-2014,3,session_0,run_0,1,1,0.7763157894736842
1137,009-2014,3,session_0,run_0,1,2,0.774671052631579
1138,009-2014,3,session_0,run_0,1,3,0.7801535087719298
1139,009-2014,3,session_0,run_0,1,4,0.7658991228070176
1140,009-2014,3,session_0,run_0,1,5,0.756578947368421
1141,009-2014,3,session_0,run_0,1,6,0.7637061403508771
1142,009-2014,3,session_0,run_0,1,7,0.7642543859649122
1143,009-2014,3,session_0,run_0,1,8,0.7615131578947368
1144,009-2014,3,session_0,run_0,1,9,0.7658991228070176
1145,009-2014,3,session_0,run_0,1,10,0.7620614035087719
1146,009-2014,3,session_0,run_0,1,11,0.7730263157894737
1147,009-2014,3,session_0,run_0,1,12,0.7724780701754386
1148,009-2014,3,session_0,run_0,1,13,0.7735745614035088
1149,009-2014,3,session_0,run_0,1,14,0.7702850877192982
1150,009-2014,3,session_0,run_0,1,15,0.7664473684210525
1151,009-2014,3,session_0,run_0,1,16,0.7637061403508772
1152,009-2014,3,session_0,run_0,2,1,0.6293859649122806
1153,009-2014,3,session_0,run_0,2,2,0.5888157894736842
1154,009-2014,3,session_0,run_0,2,3,0.6408991228070176
1155,009-2014,3,session_0,run_0,2,4,0.6584429824561403
1156,009-2014,3,session_0,run_0,2,5,0.6595394736842105
1157,009-2014,3,session_0,run_0,2,6,0.6600877192982456
1158,009-2014,3,session_0,run_0,2,7,0.6567982456140351
1159,009-2014,3,session_0,run_0,2,8,0.6529605263157895
1160,009-2014,3,session_0,run_0,2,9,0.6540570175438596
1161,009-2014,3,session_0,run_0,2,10,0.6661184210526316
1162,009-2014,3,session_0,run_0,2,11,0.65625
1163,009-2014,3,session_0,run_0,2,12,0.6787280701754386
1164,009-2014,3,session_0,run_0,2,13,0.6968201754385965
1165,009-2014,3,session_0,run_0,2,14,0.6984649122807018
1166,009-2014,3,session_0,run_0,2,15,0.6968201754385965
1167,009-2014,3,session_0,run_0,2,16,0.6951754385964912
1168,009-2014,3,session_0,run_0,3,1,0.6995614035087719
1169,009-2014,3,session_0,run_0,3,2,0.6672149122807017
1170,009-2014,3,session_0,run_0,3,3,0.6875
1171,009-2014,3,session_0,run_0,3,4,0.7357456140350878
1172,009-2014,3,session_0,run_0,3,5,0.7966008771929824
1173,009-2014,3,session_0,run_0,3,6,0.7960526315789473
1174,009-2014,3,session_0,run_0,3,7,0.8218201754385964
1175,009-2014,3,session_0,run_0,3,8,0.8327850877192983
1176,009-2014,3,session_0,run_0,3,9,0.8333333333333334
1177,009-2014,3,session_0,run_0,3,10,0.8360745614035087
1178,009-2014,3,session_0,run_0,3,11,0.837719298245614
1179,009-2014,3,session_0,run_0,3,12,0.8399122807017544
1180,009-2014,3,session_0,run_0,3,13,0.8388157894736842
1181,009-2014,3,session_0,run_0,3,14,0.837719298245614
1182,009-2014,3,session_0,run_0,3,15,0.837171052631579
1183,009-2014,3,session_0,run_0,3,16,0.8371710526315789
1184,009-2014,3,session_0,run_0,4,1,0.8273026315789473
1185,009-2014,3,session_0,run_0,4,2,0.8267543859649122
1186,009-2014,3,session_0,run_0,4,3,0.8174342105263158
1187,009-2014,3,session_0,run_0,4,4,0.8234649122807017
1188,009-2014,3,session_0,run_0,4,5,0.8475877192982456
1189,009-2014,3,session_0,run_0,4,6,0.8662280701754386
1190,009-2014,3,session_0,run_0,4,7,0.8717105263157895
1191,009-2014,3,session_0,run_0,4,8,0.8689692982456141
1192,009-2014,3,session_0,run_0,4,9,0.868421052631579
1193,009-2014,3,session_0,run_0,4,10,0.8601973684210527
1194,009-2014,3,session_0,run_0,4,11,0.8585526315789473
1195,009-2014,3,session_0,run_0,4,12,0.8569078947368421
1196,009-2014,3,session_0,run_0,4,13,0.8574561403508771
1197,009-2014,3,session_0,run_0,4,14,0.8618421052631579
1198,009-2014,3,session_0,run_0,4,15,0.862390350877193
1199,009-2014,3,session_0,run_0,4,16,0.8662280701754386
1200,009-2014,3,session_1,run_0,0,1,0.946875
1201,009-2014,3,session_1,run_0,0,2,0.9619791666666667
1202,009-2014,3,session_1,run_0,0,3,0.9567708333333333
1203,009-2014,3,session_1,run_0,0,4,0.9583333333333334
1204,009-2014,3,session_1,run_0,0,5,0.9578125
1205,009-2014,3,session_1,run_0,0,6,0.9484374999999999
1206,009-2014,3,session_1,run_0,0,7,0.9479166666666665
1207,009-2014,3,session_1,run_0,0,8,0.9484375
1208,009-2014,3,session_1,run_0,0,9,0.9520833333333333
1209,009-2014,3,session_1,run_0,0,10,0.9489583333333335
1210,009-2014,3,session_1,run_0,0,11,0.9520833333333333
1211,009-2014,3,session_1,run_0,0,12,0.9500000000000001
1212,009-2014,3,session_1,run_0,0,13,0.9489583333333332
1213,009-2014,3,session_1,run_0,0,14,0.9479166666666666
1214,009-2014,3,session_1,run_0,0,15,0.9484374999999999
1215,009-2014,3,session_1,run_0,0,16,0.9489583333333332
1216,009-2014,3,session_1,run_0,1,1,0.8771929824561404
1217,009-2014,3,session_1,run_0,1,2,0.9216008771929826
1218,009-2014,3,session_1,run_0,1,3,0.9216008771929824
1219,009-2014,3,session_1,run_0,1,4,0.9320175438596491
1220,009-2014,3,session_1,run_0,1,5,0.9237938596491229
1221,009-2014,3,session_1,run_0,1,6,0.9539473684210527
1222,009-2014,3,session_1,run_0,1,7,0.955592105263158
1223,009-2014,3,session_1,run_0,1,8,0.9550438596491229
1224,009-2014,3,session_1,run_0,1,9,0.9555921052631579
1225,009-2014,3,session_1,run_0,1,10,0.9577850877192983
1226,009-2014,3,session_1,run_0,1,11,0.9512061403508772
1227,009-2014,3,session_1,run_0,1,12,0.9588815789473685
1228,009-2014,3,session_1,run_0,1,13,0.9588815789473685
1229,009-2014,3,session_1,run_0,1,14,0.9583333333333334
1230,009-2014,3,session_1,run_0,1,15,0.9594298245614036
1231,009-2014,3,session_1,run_0,1,16,0.9599780701754386
1232,009-2014,3,session_1,run_0,2,1,0.9402412280701754
1233,009-2014,3,session_1,run_0,2,2,0.9780701754385965
1234,009-2014,3,session_1,run_0,2,3,0.9665570175438596
1235,009-2014,3,session_1,run_0,2,4,0.96875
1236,009-2014,3,session_1,run_0,2,5,0.9692982456140351
1237,009-2014,3,session_1,run_0,2,6,0.9736842105263157
1238,009-2014,3,session_1,run_0,2,7,0.9703947368421053
1239,009-2014,3,session_1,run_0,2,8,0.9610745614035088
1240,009-2014,3,session_1,run_0,2,9,0.962719298245614
1241,009-2014,3,session_1,run_0,2,10,0.9632675438596491
1242,009-2014,3,session_1,run_0,2,11,0.9671052631578948
1243,009-2014,3,session_1,run_0,2,12,0.9649122807017543
1244,009-2014,3,session_1,run_0,2,13,0.9566885964912281
1245,009-2014,3,session_1,run_0,2,14,0.9583333333333333
1246,009-2014,3,session_1,run_0,2,15,0.9577850877192983
1247,009-2014,3,session_1,run_0,2,16,0.9583333333333334
1248,009-2014,3,session_1,run_0,3,1,0.9029605263157894
1249,009-2014,3,session_1,run_0,3,2,0.8777412280701754
1250,009-2014,3,session_1,run_0,3,3,0.8574561403508771
1251,009-2014,3,session_1,run_0,3,4,0.862390350877193
1252,009-2014,3,session_1,run_0,3,5,0.8601973684210527
1253,009-2014,3,session_1,run_0,3,6,0.8612938596491228
1254,009-2014,3,session_1,run_0,3,7,0.8629385964912281
1255,009-2014,3,session_1,run_0,3,8,0.8503289473684209
1256,009-2014,3,session_1,run_0,3,9,0.8552631578947368
1257,009-2014,3,session_1,run_0,3,10,0.8612938596491228
1258,009-2014,3,session_1,run_0,3,11,0.8596491228070176
1259,009-2014,3,session_1,run_0,3,12,0.8695175438596491
1260,009-2014,3,session_1,run_0,3,13,0.8651315789473685
1261,009-2014,3,session_1,run_0,3,14,0.8755482456140351
1262,009-2014,3,session_1,run_0,3,15,0.8744517543859649
1263,009-2014,3,session_1,run_0,3,16,0.875
1264,009-2014,3,session_1,run_0,4,1,0.9073464912280701
1265,009-2014,3,session_1,run_0,4,2,0.9616228070175439
1266,009-2014,3,session_1,run_0,4,3,0.9506578947368421
1267,009-2014,3,session_1,run_0,4,4,0.9533991228070176
1268,009-2014,3,session_1,run_0,4,5,0.956140350877193
1269,009-2014,3,session_1,run_0,4,6,0.9550438596491229
1270,009-2014,3,session_1,run_0,4,7,0.9512061403508772
1271,009-2014,3,session_1,run_0,4,8,0.9517543859649122
1272,009-2014,3,session_1,run_0,4,9,0.9512061403508771
1273,009-2014,3,session_1,run_0,4,10,0.950109649122807
1274,009-2014,3,session_1,run_0,4,11,0.9512061403508771
1275,009-2014,3,session_1,run_0,4,12,0.950109649122807
1276,009-2014,3,session_1,run_0,4,13,0.9523026315789473
1277,009-2014,3,session_1,run_0,4,14,0.950657894736842
1278,009-2014,3,session_1,run_0,4,15,0.950657894736842
1279,009-2014,3,session_1,run_0,4,16,0.9605263157894737
1280,009-2014,3,session_2,run_0,0,1,0.9317708333333333
1281,009-2014,3,session_2,run_0,0,2,0.9322916666666667
1282,009-2014,3,session_2,run_0,0,3,0.9359374999999999
1283,009-2014,3,session_2,run_0,0,4,0.9473958333333333
1284,009-2014,3,session_2,run_0,0,5,0.9380208333333333
1285,009-2014,3,session_2,run_0,0,6,0.9270833333333333
1286,009-2014,3,session_2,run_0,0,7,0.9265625
1287,009-2014,3,session_2,run_0,0,8,0.9260416666666667
1288,009-2014,3,session_2,run_0,0,9,0.9249999999999999
1289,009-2014,3,session_2,run_0,0,10,0.9255208333333333
1290,009-2014,3,session_2,run_0,0,11,0.9270833333333333
1291,009-2014,3,session_2,run_0,0,12,0.9265625
1292,009-2014,3,session_2,run_0,0,13,0.9255208333333332
1293,009-2014,3,session_2,run_0,0,14,0.9260416666666667
1294,009-2014,3,session_2,run_0,0,15,0.9255208333333333
1295,009-2014,3,session_2,run_0,0,16,0.9244791666666666
1296,009-2014,3,session_2,run_0,1,1,0.9495614035087719
1297,009-2014,3,session_2,run_0,1,2,0.9424342105263158
1298,009-2014,3,session_2,run_0,1,3,0.9413377192982457
1299,009-2014,3,session_2,run_0,1,4,0.9468201754385964
1300,009-2014,3,session_2,run_0,1,5,0.9572368421052632
1301,009-2014,3,session_2,run_0,1,6,0.9594298245614035
1302,009-2014,3,session_2,run_0,1,7,0.9605263157894737
1303,009-2014,3,session_2,run_0,1,8,0.9605263157894737
1304,009-2014,3,session_2,run_0,1,9,0.9632675438596492
1305,009-2014,3,session_2,run_0,1,10,0.9682017543859649
1306,009-2014,3,session_2,run_0,1,11,0.9627192982456141
1307,009-2014,3,session_2,run_0,1,12,0.9616228070175439
1308,009-2014,3,session_2,run_0,1,13,0.962171052631579
1309,009-2014,3,session_2,run_0,1,14,0.962171052631579
1310,009-2014,3,session_2,run_0,1,15,0.962719298245614
1311,009-2014,3,session_2,run_0,1,16,0.9610745614035088
1312,009-2014,3,session_2,run_0,2,1,0.9210526315789473
1313,009-2014,3,session_2,run_0,2,2,0.9396929824561404
1314,009-2014,3,session_2,run_0,2,3,0.9512061403508771
1315,009-2014,3,session_2,run_0,2,4,0.9572368421052633
1316,009-2014,3,session_2,run_0,2,5,0.9643640350877194
1317,009-2014,3,session_2,run_0,2,6,0.9539473684210527
1318,009-2014,3,session_2,run_0,2,7,0.9462719298245614
1319,009-2014,3,session_2,run_0,2,8,0.9462719298245614
1320,009-2014,3,session_2,run_0,2,9,0.9495614035087719
1321,009-2014,3,session_2,run_0,2,10,0.9501096491228069
1322,009-2014,3,session_2,run_0,2,11,0.9528508771929824
1323,009-2014,3,session_2,run_0,2,12,0.9533991228070176
1324,009-2014,3,session_2,run_0,2,13,0.9539473684210527
1325,009-2014,3,session_2,run_0,2,14,0.9550438596491229
1326,009-2014,3,session_2,run_0,2,15,0.9550438596491229
1327,009-2014,3,session_2,run_0,2,16,0.9539473684210527
1328,009-2014,3,session_2,run_0,3,1,0.9758771929824561
1329,009-2014,3,session_2,run_0,3,2,0.9703947368421052
1330,009-2014,3,session_2,run_0,3,3,0.950657894736842
1331,009-2014,3,session_2,run_0,3,4,0.9720394736842105
1332,009-2014,3,session_2,run_0,3,5,0.9703947368421053
1333,009-2014,3,session_2,run_0,3,6,0.9599780701754386
1334,009-2014,3,session_2,run_0,3,7,0.9572368421052632
1335,009-2014,3,session_2,run_0,3,8,0.9539473684210525
1336,009-2014,3,session_2,run_0,3,9,0.9501096491228069
1337,009-2014,3,session_2,run_0,3,10,0.9501096491228069
1338,009-2014,3,session_2,run_0,3,11,0.9484649122807017
1339,009-2014,3,session_2,run_0,3,12,0.9484649122807017
1340,009-2014,3,session_2,run_0,3,13,0.9484649122807017
1341,009-2014,3,session_2,run_0,3,14,0.9484649122807017
1342,009-2014,3,session_2,run_0,3,15,0.9512061403508771
1343,009-2014,3,session_2,run_0,3,16,0.9550438596491228
1344,009-2014,3,session_2,run_0,4,1,0.9550438596491229
1345,009-2014,3,session_2,run_0,4,2,0.9791666666666666
1346,009-2014,3,session_2,run_0,4,3,0.9797149122807017
1347,009-2014,3,session_2,run_0,4,4,0.9808114035087719
1348,009-2014,3,session_2,run_0,4,5,0.9775219298245614
1349,009-2014,3,session_2,run_0,4,6,0.9769736842105263
1350,009-2014,3,session_2,run_0,4,7,0.9775219298245614
1351,009-2014,3,session_2,run_0,4,8,0.9769736842105263
1352,009-2014,3,session_2,run_0,4,9,0.9764254385964912
1353,009-2014,3,session_2,run_0,4,10,0.9775219298245614
1354,009-2014,3,session_2,run_0,4,11,0.9775219298245614
1355,009-2014,3,session_2,run_0,4,12,0.975328947368421
1356,009-2014,3,session_2,run_0,4,13,0.9764254385964912
1357,009-2014,3,session_2,run_0,4,14,0.9780701754385964
1358,009-2014,3,session_2,run_0,4,15,0.9775219298245614
1359,009-2014,3,session_2,run_0,4,16,0.9780701754385964
1360,009-2014,4,session_0,run_0,0,1,0.9578125
1361,009-2014,4,session_0,run_0,0,2,0.9750000000000001
1362,009-2014,4,session_0,run_0,0,3,0.9932291666666666
1363,009-2014,4,session_0,run_0,0,4,0.9890625000000001
1364,009-2014,4,session_0,run_0,0,5,0.9911458333333333
1365,009-2014,4,session_0,run_0,0,6,0.990625
1366,009-2014,4,session_0,run_0,0,7,0.9916666666666667
1367,009-2014,4,session_0,run_0,0,8,0.9895833333333334
1368,009-2014,4,session_0,run_0,0,9,0.9885416666666667
1369,009-2014,4,session_0,run_0,0,10,0.9885416666666667
1370,009-2014,4,session_0,run_0,0,11,0.9890625000000001
1371,009-2014,4,session_0,run_0,0,12,0.990625
1372,009-2014,4,session_0,run_0,0,13,0.9864583333333334
1373,009-2014,4,session_0,run_0,0,14,0.9859375
1374,009-2014,4,session_0,run_0,0,15,0.9859375
1375,009-2014,4,session_0,run_0,0,16,0.9859375
1376,009-2014,4,session_0,run_0,1,1,0.8908991228070176
1377,009-2014,4,session_0,run_0,1,2,0.8881578947368421
1378,009-2014,4,session_0,run_0,1,3,0.9046052631578947
1379,009-2014,4,session_0,run_0,1,4,0.8634868421052632
1380,009-2014,4,session_0,run_0,1,5,0.8640350877192982
1381,009-2014,4,session_0,run_0,1,6,0.8393640350877193
1382,009-2014,4,session_0,run_0,1,7,0.8525219298245614
1383,009-2014,4,session_0,run_0,1,8,0.8739035087719298
1384,009-2014,4,session_0,run_0,1,9,0.868969298245614
1385,009-2014,4,session_0,run_0,1,10,0.8656798245614035
1386,009-2014,4,session_0,run_0,1,11,0.8640350877192982
1387,009-2014,4,session_0,run_0,1,12,0.8618421052631579
1388,009-2014,4,session_0,run_0,1,13,0.8601973684210525
1389,009-2014,4,session_0,run_0,1,14,0.8585526315789473
