,dataset,subject,session,run,fold,n_blocks,roc_auc_score
132,008-2014,2,session_0,run_0,3,5,0.8111530612244898
133,008-2014,2,session_0,run_0,3,6,0.8140612244897959
134,008-2014,2,session_0,run_0,3,7,0.8125510204081633
135,008-2014,2,session_0,run_0,3,8,0.8126836734693877
136,008-2014,2,session_0,run_0,3,9,0.8129795918367346
137,008-2014,2,session_0,run_0,3,10,0.8147040816326532
138,008-2014,2,session_0,run_0,3,11,0.8145408163265305
139,008-2014,2,session_0,run_0,3,12,0.8146122448979594
140,008-2014,2,session_0,run_0,3,13,0.8141632653061225
141,008-2014,2,session_0,run_0,3,14,0.8136530612244898
142,008-2014,2,session_0,run_0,3,15,0.8145
143,008-2014,2,session_0,run_0,3,16,0.8147448979591837
144,008-2014,2,session_0,run_0,4,1,0.7247040816326531
145,008-2014,2,session_0,run_0,4,2,0.8042959183673469
146,008-2014,2,session_0,run_0,4,3,0.8109081632653061
147,008-2014,2,session_0,run_0,4,4,0.8099285714285716
148,008-2014,2,session_0,run_0,4,5,0.8088673469387755
149,008-2014,2,session_0,run_0,4,6,0.8078265306122449
150,008-2014,2,session_0,run_0,4,7,0.8074591836734694
151,008-2014,2,session_0,run_0,4,8,0.8075510204081633
152,008-2014,2,session_0,run_0,4,9,0.8079285714285716
153,008-2014,2,session_0,run_0,4,10,0.8128469387755103
154,008-2014,2,session_0,run_0,4,11,0.8134285714285714
155,008-2014,2,session_0,run_0,4,12,0.8133775510204081
156,008-2014,2,session_0,run_0,4,13,0.8134489795918367
157,008-2014,2,session_0,run_0,4,14,0.8133163265306123
158,008-2014,2,session_0,run_0,4,15,0.8133265306122449
159,008-2014,2,session_0,run_0,4,16,0.813265306122449
160,008-2014,3,session_0,run_0,0,1,0.8369285714285715
161,008-2014,3,session_0,run_0,0,2,0.8588673469387755
162,008-2014,3,session_0,run_0,0,3,0.8557653061224489
163,008-2014,3,session_0,run_0,0,4,0.8606020408163266
164,008-2014,3,session_0,run_0,0,5,0.8612040816326532
165,008-2014,3,session_0,run_0,0,6,0.8624081632653061
166,008-2014,3,session_0,run_0,0,7,0.864561224489796
167,008-2014,3,session_0,run_0,0,8,0.8641530612244898
168,008-2014,3,session_0,run_0,0,9,0.8642244897959184
169,008-2014,3,session_0,run_0,0,10,0.8642244897959184
170,008-2014,3,session_0,run_0,0,11,0.8641224489795918
171,008-2014,3,session_0,run_0,0,12,0.8639285714285715
172,008-2014,3,session_0,run_0,0,13,0.8638877551020409
173,008-2014,3,session_0,run_0,0,14,0.8637857142857144
174,008-2014,3,session_0,run_0,0,15,0.863765306122449
175,008-2014,3,session_0,run_0,0,16,0.8637653061224488
